graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str
142.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [1, 4, 5], [2, 4, 5], [3, 1, 5]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 5)]","[[0, 4, 3, 2, 1, 5], [1, 2, 3, 4, 0, 5]]",10.0,"[0, 0, 0, 0, 0, 5]",2,5,0,0,0
143.,FALSE,9,2,3,FALSE,FALSE,[],0,"[[2, 4, 0], [3, 1, 4, 0], [2, 5, 1, 4], [3, 5, 1]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3)]","[[0, 5, 4, 3, 2, 1], [1, 2, 3, 4, 5, 0]]",12.0,"[0, 0, 0, 0, 0, 0]",1,2,2,0,0
144.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [2, 4, 0]]","[(0, 4), (1, 3), (2, 2), (3, 3), (4, 4), (5, 4)]","[[4, 3, 2, 1, 0, 5]]",2.0,"[0, 1, 2, 1, 0, 5]",4,5,0,0,0
145.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [3, 1, 5], [4, 1, 5, 0], [2, 4, 0]]","[(0, 4), (1, 3), (2, 3), (3, 3), (4, 3), (5, 4)]","[[5, 4, 3, 2, 1, 0]]",2.0,"[0, 1, 2, 2, 1, 0]",3,4,1,0,0
146.,FALSE,11,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [2, 4, 0]]","[(0, 4), (1, 3), (2, 3), (3, 3), (4, 4), (5, 5)]","[[4, 3, 2, 1, 0, 5]]",2.0,"[0, 1, 2, 1, 0, 5]",4,6,0,0,0
147.,FALSE,12,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [2, 4, 0], [3, 4, 0]]","[(0, 4), (1, 3), (2, 3), (3, 4), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [3, 2, 1, 0, 4, 5]]",4.0,"[0, 1, 1, 0, 4, 4]",3,7,0,0,0
148.,FALSE,13,2,5,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 4), (1, 3), (2, 4), (3, 5), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [2, 1, 0, 3, 4, 5]]",12.0,"[0, 1, 0, 3, 3, 3]",3,8,0,0,0
149.,FALSE,11,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [2, 1, 4], [3, 1, 4, 0]]","[(0, 4), (1, 3), (2, 4), (3, 3), (4, 4), (5, 4)]","[[5, 1, 2, 3, 4, 0], [0, 1, 4, 3, 2, 5], [2, 3, 0, 1, 5, 4]]",8.0,"[0, 1, 0, 1, 0, 0]",2,5,1,0,0
150.,FALSE,11,2,4,FALSE,TRUE,[],0,"[[2, 5, 0], [4, 5, 0], [2, 1, 5], [3, 1, 5, 0], [4, 1, 5], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 2), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [0, 1, 4, 3, 2, 5], [1, 0, 2, 3, 4, 5]]",12.0,"[0, 0, 2, 3, 2, 2]",3,5,1,0,0
151.,FALSE,11,2,3,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [2, 1, 5], [3, 1, 5], [4, 1, 5, 0], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 3), (4, 3), (5, 4)]","[[1, 0, 2, 3, 4, 5], [0, 1, 5, 4, 3, 2]]",4.0,"[0, 0, 2, 3, 3, 2]",3,5,1,0,0
152.,FALSE,12,2,4,FALSE,FALSE,[],0,"[[2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 1, 5], [3, 1, 5], [4, 1, 5], [2, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 3), (4, 4), (5, 5)]","[[0, 1, 4, 3, 2, 5], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 2, 5]",4,7,0,0,0
153.,FALSE,12,2,3,TRUE,TRUE,[],0,"[[2, 5, 0], [3, 5, 0], [2, 1, 5], [3, 1, 5], [4, 1, 5, 0], [2, 4, 0], [3, 4, 0]]","[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [0, 1, 3, 2, 4, 5], [0, 1, 4, 5, 2, 3], [1, 0, 2, 3, 4, 5], [2, 3, 0, 1, 4, 5]]",48.0,"[0, 0, 0, 0, 0, 0]",1,6,1,0,0
