graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,
756, False ,12,2,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [4, 2, 6], [5, 2, 6, 0], [4, 1, 6], [5, 1, 6, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 2), (4, 4), (5, 3), (6, 5)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,4,2,0,0,0,"
"
757, False ,13,2,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6]] "," [(0, 4), (1, 3), (2, 3), (3, 2), (4, 4), (5, 4), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,7,0,0,0,0,"
"
758, False ,13,2,4, False , False , [] ,0," [[4, 5, 0], [1, 6, 5], [2, 6, 5], [3, 6, 5, 0], [4, 6, 5], [4, 2, 5], [4, 1, 5]] "," [(0, 3), (1, 3), (2, 3), (3, 2), (4, 5), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,6,1,0,0,0,"
"
759, False ,13,3,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6], [4, 5, 0], [4, 2, 5]] "," [(0, 4), (1, 3), (2, 2), (3, 2), (4, 5), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 5, 4, 6]] ",2," [0, 1, 2, 3, 4, 4, 6] ",6,7,0,0,0,0,"
"
760, False ,13,3,4, False , False , [0] ,1," [[4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 1), (4, 5), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",12," [0, 1, 1, 3, 4, 4, 4] ",4,7,0,0,0,0,"
"
761, False ,13,2,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [4, 2, 6], [5, 2, 6, 0], [4, 1, 6], [5, 1, 6, 0], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 2), (4, 5), (5, 4), (6, 5)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,5,2,0,0,0,"
"
762, False ,14,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 2), (4, 5), (5, 5), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 4, 6] ",5,8,0,0,0,0,"
"
763, False ,12,2,3, False , False , [] ,0," [[3, 5, 0], [4, 2, 5, 0], [1, 6, 2, 5], [3, 6, 2, 5], [4, 6, 2], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 3), (3, 3), (4, 4), (5, 4), (6, 4)] "," [[0, 2, 1, 3, 4, 5, 6], [3, 1, 2, 0, 6, 5, 4]] ",4," [0, 1, 1, 0, 4, 5, 4] ",4,2,4,0,0,0,"
"
764, False ,13,2,3, False , False , [] ,0," [[3, 5, 0], [1, 6, 5], [2, 6, 5], [3, 6, 5], [4, 6, 5, 0], [4, 2, 5, 0], [4, 1, 5, 0]] "," [(0, 3), (1, 3), (2, 3), (3, 3), (4, 4), (5, 5), (6, 5)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,4,3,0,0,0,"
"
765, False ,13,2,4, False , False , [] ,0," [[3, 6, 0], [5, 6, 0], [4, 2, 6, 0], [5, 2, 6], [4, 1, 6, 0], [5, 1, 6], [3, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 3), (4, 3), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 5, 5] ",5,5,2,0,0,0,"
"
766, False ,13,2,3, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [4, 2, 6], [5, 2, 6, 0], [4, 1, 6], [5, 1, 6, 0], [3, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 3), (4, 4), (5, 4), (6, 5)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,5,2,0,0,0,"
"
767, False ,14,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6], [3, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 3), (4, 4), (5, 5), (6, 6)] "," [[0, 2, 1, 3, 4, 5, 6]] ",2," [0, 1, 1, 3, 4, 5, 6] ",6,8,0,0,0,0,"
"
768, False ,15,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [4, 2, 6], [5, 2, 6], [4, 1, 6], [5, 1, 6], [3, 5, 0], [4, 5, 0]] "," [(0, 4), (1, 3), (2, 3), (3, 3), (4, 5), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 3, 4, 5, 5] ",5,9,0,0,0,0,"
"
